Timestamp,Gender,Nationality/Country of Origin,Which of the following qualifications best describes you?,Do you know how to use functions in R? ,"Do you already use the tidyverse packages in R such as dplyr, tidyr, tibble and ggplot2? ",Do you need to analyse large collections of related time series? ,"Would you like to learn how to use some tidy tools for time series analysis including visualization, decomposition and forecasting? ",Which of the two modes of learning will be suitable for you?
7/22/2023 7:40,Female,MALAWIAN,Junior Researcher,No,No,Yes,Yes,Online
7/22/2023 7:43,Female,Malawian ,Undergrad (4th year student ),No,No,No,Yes,Physical
7/22/2023 7:55,Male,Malawian ,Degree student ,No,No,Yes,Yes,Online
7/22/2023 7:56,Male,MALAWIAN,Junior Researcher,No,No,Yes,Yes,Physical
7/22/2023 8:06,Male,MALAWI,Junior Researcher,Yes,No,Yes,Yes,Online
7/22/2023 8:19,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
7/22/2023 8:21,Male,Malawi ,Technical college certificate in refrigeration systems ,No,No,Yes,Yes,Physical
7/22/2023 8:25,Female,Malawi,Development economics student ,No,No,Yes,Yes,Online
7/22/2023 8:51,Female,Malawi ,Junior Researcher,No,Yes,Yes,Yes,Physical
7/22/2023 8:52,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
7/22/2023 9:09,Male,Malawi ,Junior analyst ,No,No,Yes,Yes,Online
7/22/2023 9:23,Male,Nigeria ,PostDoc Student,No,No,Yes,Yes,Online
7/22/2023 9:28,Female,Malawi,Junior Researcher,Yes,No,Yes,Yes,Online
7/22/2023 10:10,Male,Malawian ,MSc Student,Yes,Yes,Yes,Yes,"Physical, Online"
7/22/2023 10:12,Male,Malawi,First degree graduand ,No,No,Yes,Yes,Online
7/22/2023 10:17,Male,Malawi,MSc Student,No,No,Yes,Yes,Physical
7/22/2023 10:18,Male,Malawi,MSc Student,Yes,Yes,Yes,Yes,Online
7/22/2023 10:47,Female,Malawi ,Bachelors holder Animal Science ,No,No,Yes,Yes,"Physical, Online"
7/22/2023 10:47,Male,Malawi ,Just finished my BSc,No,No,Yes,Yes,Physical
7/22/2023 10:50,Female,Malawian,Undergrad student,No,No,Yes,Yes,Physical
7/22/2023 10:55,Female,Malawian ,PhD Student,Yes,No,Yes,Yes,Online
7/22/2023 11:18,Male,Malawi,MSc Student,Yes,No,Yes,Yes,Online
7/22/2023 11:21,Female,Tanzania,MSc Student,Yes,Yes,Yes,Yes,"Physical, Online"
7/22/2023 11:36,Male,Malawi ,PhD Student,No,No,Yes,Yes,Online
7/22/2023 12:01,Male,Malawi,MSc Student,Yes,No,Yes,Yes,Online
7/22/2023 12:03,Male,Malawian ,Undergraduate student,No,No,Yes,Yes,"Physical, Online"
7/22/2023 12:21,Male,Malawi,Junior Researcher,No,No,Yes,Yes,"Physical, Online"
7/22/2023 12:29,Male,Malawi,Project practitioner ,No,No,Yes,Yes,Online
7/22/2023 12:29,Male,Malawi,MSc Student,Yes,Yes,Yes,Yes,Online
7/22/2023 12:34,Male,Nigeria ,Junior Researcher,Yes,Yes,Yes,Yes,"Physical, Online"
7/22/2023 12:35,Male,Malawian,PhD Student,No,No,Yes,Yes,Physical
7/22/2023 12:38,Female,Malawi ,Junior Researcher,No,No,Yes,Yes,Physical
7/22/2023 12:39,Female,Malawi,PhD Student,No,No,Yes,Yes,Online
7/22/2023 12:40,Male,Malawian,Bsc in statistics student,Yes,Yes,Yes,Yes,Online
7/22/2023 12:40,Female,Malawi,Degree student,Yes,Yes,Yes,Yes,Online
7/22/2023 12:46,Female,Malawi,Junior Researcher,No,No,Yes,Yes,Physical
7/22/2023 12:46,Male,Malawi,PhD Student,No,No,Yes,Yes,Online
7/22/2023 12:47,Male,Malawian ,MSc Student,Yes,Yes,Yes,Yes,Physical
7/22/2023 13:00,Male,Malawi,Junior Researcher,Yes,Yes,Yes,Yes,Online
7/22/2023 13:05,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Physical
7/22/2023 13:07,Male,Malawian,Undergraduate Student ,Yes,No,Yes,Yes,Online
7/22/2023 13:22,Male,Mozambique ,PhD Student,Yes,Yes,Yes,Yes,Online
7/22/2023 13:45,Male,Malawian,Senior Researcher,Yes,Yes,Yes,Yes,Physical
7/22/2023 13:45,Male,Malawian,Project Officer,No,No,Yes,Yes,Online
7/22/2023 13:48,Male,Malawian ,Junior Researcher,Yes,Yes,Yes,Yes,Online
7/22/2023 13:57,Male,Malawi ,Undergraduate student ,No,No,No,Yes,Online
7/22/2023 14:45,Male,Malawi ,Bs Student,No,No,Yes,Yes,Physical
7/22/2023 14:48,Female,Malawi,Junior Researcher,No,No,Yes,Yes,Physical
7/22/2023 14:50,Male,Malawian,Junior Researcher,Yes,Yes,Yes,Yes,Online
7/22/2023 14:52,Male,Ethiopian,PhD Student,Yes,Yes,Yes,Yes,Online
7/22/2023 15:00,Male,Nigeria ,Senior Researcher,Yes,Yes,Yes,Yes,Online
7/22/2023 15:00,Female,Malawian,Junior Researcher,No,No,Yes,Yes,Online
7/22/2023 15:00,Female,Kenya,PostDoc Student,Yes,No,Yes,Yes,Online
7/22/2023 15:02,Male,Malawian,Junior Researcher,Yes,No,Yes,Yes,Online
7/22/2023 15:06,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
7/22/2023 15:06,Male,Malawi ,Junior Researcher,No,No,Yes,Yes,Online
7/22/2023 15:23,Male,Malawi,MSc Student,No,Yes,Yes,Yes,Physical
7/22/2023 15:28,Female,Malawi,Junior Researcher,No,No,Yes,Yes,Online
7/22/2023 15:37,Female,Malawian ,MSc Student,No,No,Yes,Yes,"Physical, Online"
7/22/2023 15:47,Male,Malawi,Data Manager for a resilient food and nutrition security project,Yes,Yes,Yes,Yes,Online
7/22/2023 16:28,Male,Malawi,MSc Student,Yes,Yes,Yes,Yes,Online
7/22/2023 16:35,Male,Malawian ,Undergraduate arts economics ,No,No,Yes,Yes,"Physical, Online"
7/22/2023 16:47,Female,Malawi,Junior Researcher,No,No,Yes,Yes,Physical
7/22/2023 17:13,Female,Malawian ,Junior Researcher,Yes,Yes,Yes,Yes,"Physical, Online"
7/22/2023 17:28,Male,Malawi ,Undergraduate ,No,No,Yes,Yes,Physical
7/22/2023 17:35,Male,Malawian ,Degree Holder,No,No,Yes,Yes,Physical
7/22/2023 17:38,Male,Malawi,Degree holder ,No,No,Yes,Yes,Physical
7/22/2023 17:42,Male,zambian/zambia,MSc Student,Yes,Yes,Yes,Yes,Online
7/22/2023 17:44,Female,Malawi,Bachelor?s student ,No,No,Yes,Yes,Physical
7/22/2023 17:48,Male,Malawian ,Junior Researcher,Yes,No,No,Yes,Online
7/22/2023 18:02,Female,Malawian ,Junior Researcher,No,No,No,Yes,Online
7/22/2023 18:05,Female,Malawi ,Junior Researcher,No,No,Yes,Yes,Online
7/22/2023 18:31,Male,Malawi,Undergraduate Student,Yes,Yes,Yes,Yes,Online
7/22/2023 20:35,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Online
